Date,Year,Month,Type,Country,Area,Location,Activity,Activity on surface,Table Presence,Sex,Age,Injury,Damage,Time,Species
03/07/2022,2022,July,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Lifeguard exercises,,,M,31,Injuries to chest and right hand,No Fatal,Morning,5'Shark
21/06/2022,2022,June,Unprovoked,USA,North & South Carolina,"Myrtle Beach, Horry County",Unknown,,,M,14,,No Fatal,Unknown,Unknown
09/04/2022,2022,April,Provoked,USA,New Jersey,Tutle Back Zoo,Feeding,,,F,12,Finger nipped by captive shark PROVOKED INCIDENT,No Fatal,Afternoon,Epaulette Shark
16/02/2022,2022,February,Unprovoked,AUSTRALIA,New South Wales,"Buchan Point, Sydney",Swimming,Yes,No,M,36,FATAL,Fatal,Afternoon,Unknown
22/12/2021,2021,December,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Surfing,Yes,Yes,F,42,Punctures to leg,No Fatal,Unknown,Blacktip Shark
13/08/2021,2021,August,Unprovoked,CANADA,Nova Scotia,Cape Breton Island,Swimming,Yes,No,F,21,Thigh injured,No Fatal,`17H00,White Shark
14/06/2021,2021,June,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,,No,M,12,Right calf bitten,No Fatal,Unknown,Unknown
12/05/2021,2021,May,Provoked,BELIZE,Ambergris Key,,Baiting sharks,,,M,57,Right hand bitten,No Fatal,Morning,8 Ft Shark
25/03/2021,2021,March,Unprovoked,USA,Florida,Indian River County,Unknown,,,F,16,"Injuries to hands, arm and knees",No Fatal,Morning,3' To 5' Shark
22/01/2021,2021,January,Unprovoked,USA,Hawaii,Maui,Snorkeling,Yes,No,M,73,Puncture wounds to left calf,No Fatal,Morning,White Shark
30/10/2020,2020,October,Unprovoked,BAHAMAS,Grand Bahama Island,East End Point,Spearfishing,No,No,M,Unknown,Hand/wrist bitten,No Fatal,Unknown,Reef Shark
31/07/2020,2020,July,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,F,22,Lacerations to foot,No Fatal,Afternoon,Unknown
30/05/2020,2020,May,Unprovoked,AUSTRALIA,Queensland,Lucinda,Spearfishing,No,No,M,18,"No injury, swim fin bitten",No Fatal,Unknown,Bull Shark
30/11/2019,2019,November,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,9,"No injury, knocked from his board by the shark",No Fatal,Unknown,Blacktip Shark
03/08/2019,2019,August,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,20,Bite to left hand and wrist,No Fatal,Afternoon,Unknown
10/07/2019,2019,July,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,Yes,Yes,M,22,Leg injured,No Fatal,Morning,White Shark
04/02/2019,2019,February,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,Yes,Yes,M,Unknown,Multiple lacerations to leg,No Fatal,Afternoon,Tiger Shark
04/02/2019,2019,February,Unprovoked,AUSTRALIA,New South Wales,Urunga area,Surfing,Yes,Yes,M,50,"No injury, surfboard bitten",No Fatal,Morning,Bull Shark
11/11/2018,2018,November,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Tinley Manor,Fishing,,,M,41,Surf-ski bitten but no injury to occupant,No Fatal,Morning,White Shark
03/11/2018,2018,November,Unprovoked,EGYPT,Unknown,Brothers' Island,Diving,No,No,M,Unknown,Calf muscle removed,No Fatal,Unknown,White Shark
23/04/2018,2018,April,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,,,M,32,5-inch cut to hand,No Fatal,Evening,Tiger Shark
01/02/2018,2018,February,Unknown,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,No,No,M,14,No injury no attack. This is considerd an encounter,No Fatal,Unknown,2M Shark
14/01/2018,2018,January,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,No,No,M,Unknown,Severe laceration to left forearm,No Fatal,Afternoon,Reef Shark
30/11/2017,2017,November,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,No,No,M,26,Serious injury to leg,No Fatal,Unknown,"Tiger Shark, Female"
22/10/2017,2017,October,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking,,,F,15,Minor injuries,No Fatal,Afternoon,White Shark
02/09/2017,2017,September,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,Yes,No,F,Unknown,Lacerations to foot,No Fatal,Unknown,Bull Shark
14/07/2017,2017,July,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,Yes,Yes,M,Unknown,Pulled off board by shark but no injury,No Fatal,Afternoon,White Shark
29/06/2017,2017,June,Unknown,USA,North & South Carolina,Wrightsville Beach,Fishing,,,M,Unknown,"Arm injured by hook, not by a shark",Unknown,Evening,No Shark Invovlement
13/10/2016,2016,October,Unknown,MEXICO,Unknown,Guadalupe Island,Diving,No,No,M,Unknown,"Shark breached cage, no injury to diver",Unknown,Unknown,White Shark
02/10/2016,2016,October,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,21,Cuts to dorsal surface of left foot,No Fatal,Morning,Bull Shark
29/08/2016,2016,August,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,37,Minor injury to ankle,No Fatal,Afternoon,Tiger Shark
08/07/2016,2016,July,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,,No,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",No Fatal,Unknown,Angel Shark
05/06/2016,2016,June,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,No,No,F,60,FATAL,Fatal,Morning,3+ M Shark
04/02/2016,2016,February,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Surfing,Yes,Yes,M,40,"No injury, shark bit board",No Fatal,Afternoon,Unknown
24/01/2016,2016,January,Unknown,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Watercraft,,,M,Unknown,"No injury to occupants, shark leapt into boat",No Fatal,Unknown,Mako Shark
16/11/2015,2015,November,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,Yes,Yes,M,Unknown,Right heel injured,No Fatal,Afternoon,Unknown
01/09/2015,2015,September,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,,No,F,37,Left foot & ankle bitten,No Fatal,Morning,Small Shark
04/07/2015,2015,July,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,No,No,F,23,Lacerations to lower leg & ankle,No Fatal,Unknown,6' Shark
23/01/2015,2015,January,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,Yes,,M,24,Foot bitten,No Fatal,Afternoon,Mako Shark
13/07/2014,2014,July,Unknown,BAHAMAS,West End,Tiger Beach,Diving,No,No,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed",Unknown,Night,Unknown
12/07/2014,2014,July,Unprovoked,USA,North & South Carolina,"Masonboro Island, New Hanover County",Surfing,Yes,Yes,M,Unknown,Lacerations to hand and wrist,No Fatal,Unknown,Unknown
01/06/2014,2014,June,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,Yes,Yes,M,Unknown,Lacerations & puncture wounds to ankle and foot,No Fatal,Morning,Bull Shark
15/06/2013,2013,June,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,Yes,Yes,F,Unknown,Lacerations to left ankle,No Fatal,Unknown,Unknown
06/06/2013,2013,June,Unprovoked,AUSTRALIA,New South Wales,Target Beach,Surfing,Yes,Yes,M,Unknown,"No injury, board damaged",No Fatal,Afternoon,6' Shark
01/12/2012,2012,December,Unprovoked,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Diving,No,No,F,25,"No injury, shark grabbed hood",No Fatal,Unknown,Seven-Gill Shark
04/11/2012,2012,November,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Diving,No,No,M,30,Right lower leg and foot bitten,No Fatal,Morning,"Tiger Shark, 15'"
16/10/2012,2012,October,Unknown,USA,Florida,Hobe Sound,Unknown,,,M,Unknown,Laceration to toe,Unknown,Afternoon,Unknown
10/09/2012,2012,September,Unprovoked,TONGA,Vava'U,Eueiki Island,Swimming,Yes,No,F,29,Injuries to thighs & buttocks,No Fatal,Unknown,Bull Shark
06/03/2012,2012,March,Provoked,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium",Feeding,,,F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,No Fatal,Morning,Nurse Shark
31/12/2011,2011,December,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Unknown,,,M,Unknown,Hand injured,No Fatal,Afternoon,Unknown
